tag,patterns,responses
Misconduct_UnofficialUseOfDownloadAndChatTools,Will there be corrective actions for the unofficial use of download and chat tools?,The unofficial use of download and chat tools or instant messengers through the computer resource facility inside the university is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1 and 2.
Misconduct_UnofficialUseOfDownloadAndChatTools,What are the punishment for unofficial use of chat tools or messengers?,The unofficial use of download and chat tools or instant messengers through the computer resource facility inside the university is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1 and 2.
Misconduct_IntentionalPostingOrTransmittingOfHarmfulSoftware,Is intentional posting or transmitting of harmful software considered major offense?,"Intentional posting or transmitting any information or software which contains a virus, worm, or other harmful features is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1 and 2."
Misconduct_IntentionalPostingOrTransmittingOfHarmfulSoftware,Will there be corrective actions for intentional posting or transmitting of harmful software?,"Intentional posting or transmitting any information or software which contains a virus, worm, or other harmful features is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1 and 2."
Misconduct_IntentionalPostingOrTransmittingOfHarmfulSoftware,What are the punishment for sending malwares?,"Intentional posting or transmitting any information or software which contains a virus, worm, or other harmful features is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1 and 2."
Misconduct_UnauthorizedUseOfRouters,Is unauthorized use of routers considered major offense?,Unauthorized use of routers is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1 and 2.
Misconduct_UnauthorizedUseOfRouters,Will there be corrective actions for unauthorized use of routers?,Unauthorized use of routers is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1 and 2.
Misconduct_UnauthorizedUseOfRouters,Is it allowed to user unauthorized routers?,Unauthorized use of routers is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1 and 2.
Misconduct_PlayingGamesInComputerFacility,"Is playing of web, network, or PC games in any computer resource facility considered major offense?","Playing of web, network, or PC games in any computer resource facility inside the University is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_PlayingGamesInComputerFacility,Will there be corrective actions for playing games in computer resource facilities?,"Playing of web, network, or PC games in any computer resource facility inside the University is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_PlayingGamesInComputerFacility,Can I play games on campus computers or PCs?,"Playing of web, network, or PC games in any computer resource facility inside the University is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_SendingUnofficialMassEmails,Is sending of unofficial mass e-mail that causes complaints to DLSU-D mailing list considered major offense?,"Sending of unofficial mass e-mail that causes complaints to DLSU-D mailing list is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_SendingUnofficialMassEmails,Will there be corrective actions for sending unofficial mass emails?,"Sending of unofficial mass e-mail that causes complaints to DLSU-D mailing list is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_SendingUnofficialMassEmails,What if someone sends unofficial mass emails?,"Sending of unofficial mass e-mail that causes complaints to DLSU-D mailing list is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_SendingUnsolicitedEmailsWithLargeAttachments,Is sending of unsolicited e-mails with large attachments to any DLSU-D mailing list considered major offense?,"Sending of unsolicited e-mails with large attachments to any DLSU-D mailing list is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_SendingUnsolicitedEmailsWithLargeAttachments,Will there be corrective actions for sending unsolicited emails with large attachments?,"Sending of unsolicited e-mails with large attachments to any DLSU-D mailing list is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_SendingUnsolicitedEmailsWithLargeAttachments,What are the proper actions for sending unsolicited emails?,"Sending of unsolicited e-mails with large attachments to any DLSU-D mailing list is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_CopyingLargeNonWorkRelatedFiles,Is copying large non-work-related files over the network considered major offense?,"Copying large non-work-related files over the network is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_CopyingLargeNonWorkRelatedFiles,Will there be corrective actions for copying large non-work-related files?,"Copying large non-work-related files over the network is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_CopyingLargeNonWorkRelatedFiles,Can I copy non-work related files?,"Copying large non-work-related files over the network is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_UnauthorizedSharingOfFolders,Is unauthorized sharing of folders other than the default shared folder set by the ICTC considered major offense?,"Unauthorized sharing of folders other than the default shared folder set by the ICTC is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_UnauthorizedSharingOfFolders,Will there be corrective actions for unauthorized sharing of folders?,"Unauthorized sharing of folders other than the default shared folder set by the ICTC is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_UnauthorizedSharingOfFolders,What happens if I share folders in PCs?,"Unauthorized sharing of folders other than the default shared folder set by the ICTC is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_UsingDevicesForStorageOfMP3sAndMovies,Is using the university-owned IT devices as storage for MP3s and movies considered major offense?,"Using the university-owned IT devices as storage for MP3s and movies is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_UsingDevicesForStorageOfMP3sAndMovies,Will there be corrective actions for using devices for storage of MP3s and movies?,"Using the university-owned IT devices as storage for MP3s and movies is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_UsingDevicesForStorageOfMP3sAndMovies,What are the corrective actions for using PCs as storage device?,"Using the university-owned IT devices as storage for MP3s and movies is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_InstallingUnlicensedSoftware,Is installing unlicensed software in university-owned IT devices considered major offense?,"Installing unlicensed software in university-owned IT devices is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_InstallingUnlicensedSoftware,Will there be corrective actions for installing unlicensed software?,"Installing unlicensed software in university-owned IT devices is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_InstallingUnlicensedSoftware,What are the punishment for installing pirated softwares?,"Installing unlicensed software in university-owned IT devices is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, and 4."
Misconduct_AnonymousProxyUsage,Is the usage of an anonymous proxy to access regulated or restricted sites considered major offense?,"The usage of an anonymous proxy to access regulated or restricted sites is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
Misconduct_AnonymousProxyUsage,Will there be corrective actions for using an anonymous proxy to access regulated or restricted sites?,"The usage of an anonymous proxy to access regulated or restricted sites is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
Misconduct_AnonymousProxyUsage,What are the punishment for accessing restricted sites?,"The usage of an anonymous proxy to access regulated or restricted sites is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
Misconduct_RogueAccessPointsInstallation,Is the installation of rogue access points without consulting the ICTC considered major offense?,"The installation of rogue access points without consulting the ICTC is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
Misconduct_RogueAccessPointsInstallation,Will there be corrective actions for installing rogue access points without consulting the ICTC?,"The installation of rogue access points without consulting the ICTC is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
Misconduct_RogueAccessPointsInstallation,What are the corrective actions for using access points?,"The installation of rogue access points without consulting the ICTC is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
Misconduct_NonICTCUnauthorizedTestServersInstallation,Is the installation of non-ICTC unauthorized test servers considered major offense?,"The installation of non-ICTC unauthorized test servers is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
Misconduct_NonICTCUnauthorizedTestServersInstallation,Will there be corrective actions for installing non-ICTC unauthorized test servers?,"The installation of non-ICTC unauthorized test servers is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
Misconduct_NonICTCUnauthorizedTestServersInstallation,What are the corrective actions for installing unauthorized servers?,"The installation of non-ICTC unauthorized test servers is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
Misconduct_CloningUniversityWebsite,Is cloning the University website or system to attempt phishing considered major offense?,"Cloning the University website or system to attempt phishing is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
Misconduct_CloningUniversityWebsite,Will there be corrective actions for cloning the University website or system to attempt phishing?,"Cloning the University website or system to attempt phishing is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
Misconduct_CloningUniversityWebsite,What if someone tries to copy the university website?,"Cloning the University website or system to attempt phishing is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
Misconduct_UnauthorizedAccess,Is unauthorized access to any account or computer resource not belonging to the user considered major offense?,"Unauthorized access to any account or computer resource not belonging to the user is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
Misconduct_UnauthorizedAccess,Will there be corrective actions for unauthorized access to accounts or computer resources not belonging to the user?,"Unauthorized access to any account or computer resource not belonging to the user is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
Misconduct_UnauthorizedAccess,What are the punishment for unauthorized access to any account or computer?,"Unauthorized access to any account or computer resource not belonging to the user is considered major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
Misconduct_SellingProhibitedDrugs,Is selling prohibited and/or regulated drugs considered major offense?,Selling prohibited and/or regulated drugs is considered major offense (misconduct). The corrective action for this offense is Corrective Action 5.
Misconduct_SellingProhibitedDrugs,Will there be corrective actions for selling prohibited and/or regulated drugs?,Selling prohibited and/or regulated drugs is considered major offense (misconduct). The corrective action for this offense is Corrective Action 5.
Misconduct_SellingProhibitedDrugs,What are the punishment for selling drugs?,Selling prohibited and/or regulated drugs is considered major offense (misconduct). The corrective action for this offense is Corrective Action 5.
DrugAddiction_PossessionUse,Is drug addiction and/or possession or use of prohibited and regulated drugs (without valid prescription) considered a major offense?,"Drug addiction and/or possession or use of prohibited and regulated drugs (without valid prescription) is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
DrugAddiction_PossessionUse,What are the corrective actions for drug addiction and/or possession or use of prohibited and regulated drugs (without valid prescription)?,"Drug addiction and/or possession or use of prohibited and regulated drugs (without valid prescription) is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
DrugAddiction_PossessionUse,What are the punishment for using drugs?,"Drug addiction and/or possession or use of prohibited and regulated drugs (without valid prescription) is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
Provocation_HeatedArgument,Is provocation in any form that results in heated verbal argument or physical confrontation between students or group of students considered a major offense?,Provocation in any form that results in heated verbal argument or physical confrontation between students or group of students is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 1 and 2.
Provocation_HeatedArgument,What are the corrective actions for provocation resulting in heated verbal argument or physical confrontation?,Provocation in any form that results in heated verbal argument or physical confrontation between students or group of students is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 1 and 2.
Provocation_HeatedArgument,What are the punishment for provocation?,Provocation in any form that results in heated verbal argument or physical confrontation between students or group of students is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 1 and 2.
GrossDisrespect_Insult,"Are acts of gross disrespect, in words or in deeds, which tend to insult or subject to public ridicule or to contempt any member of the faculty, administration, support staff, other students, and visitors within the university considered a major offense? ","Acts of gross disrespect, in words or in deeds, which tend to insult or subject to public ridicule or to contempt any member of the faculty, administration, support staff, other students, and visitors within the university are considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
GrossDisrespect_Insult,What are the corrective actions for acts of gross disrespect and insult?,"Acts of gross disrespect, in words or in deeds, which tend to insult or subject to public ridicule or to contempt any member of the faculty, administration, support staff, other students, and visitors within the university are considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
GrossDisrespect_Insult,What are the punishment for gross disrespect?,"Acts of gross disrespect, in words or in deeds, which tend to insult or subject to public ridicule or to contempt any member of the faculty, administration, support staff, other students, and visitors within the university are considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
UnjustVexation_DiscriminationBullying,"Is unjust vexation, discrimination, and bullying (as defined by law), posting person-to-person damnation/cursing, or ill-wishing a person\u2019s present physical/psychological state, ethnicity, or cultural background, religion, political beliefs, or the like, considered a major offense?","Unjust vexation, discrimination, and bullying (as defined by law), posting person-to-person damnation/cursing, or ill-wishing a person\u2019s present physical/psychological state, ethnicity, or cultural background, religion, political beliefs, or the like, is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
UnjustVexation_DiscriminationBullying,"What are the corrective actions for unjust vexation, discrimination, and bullying?","Unjust vexation, discrimination, and bullying (as defined by law), posting person-to-person damnation/cursing, or ill-wishing a person\u2019s present physical/psychological state, ethnicity, or cultural background, religion, political beliefs, or the like, is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
UnjustVexation_DiscriminationBullying,What are the punishment for discrimination?,"Unjust vexation, discrimination, and bullying (as defined by law), posting person-to-person damnation/cursing, or ill-wishing a person\u2019s present physical/psychological state, ethnicity, or cultural background, religion, political beliefs, or the like, is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
OfferingOfValue_UnduePersonalGain,Is offering anything of value to any member of the academic community in exchange for any undue personal gain or as a favor for the benefit of another considered a major offense?,"Offering anything of value to any member of the academic community in exchange for any undue personal gain or as a favor for the benefit of another is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
OfferingOfValue_UnduePersonalGain,What are the corrective actions for offering anything of value for undue personal gain or favor?,"Offering anything of value to any member of the academic community in exchange for any undue personal gain or as a favor for the benefit of another is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
OfferingOfValue_UnduePersonalGain,What are the punishment for offering of value?,"Offering anything of value to any member of the academic community in exchange for any undue personal gain or as a favor for the benefit of another is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
ActsOfLewdness,Are acts of lewdness considered a major offense?; What are the corrective actions for acts of lewdness?,"Acts of lewdness are considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
ActsOfLewdness,What are the punishment for acts of lewdness?,"Acts of lewdness are considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
ActsOfLewdness,What is the act of lewdness?,"Acts of lewdness are considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
DeliberateDisruption_AcademicFunction,"Is the deliberate disruption of the academic function or any university activity, or any other intentional act which tends to create disorders, tumult, breach of peace, or any serious disturbance although not connected with any academic function or school activity, considered a major offense?","The deliberate disruption of the academic function or any university activity, or any other intentional act which tends to create disorders, tumult, breach of peace, or any serious disturbance although not connected with any academic function or school activity, is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
DeliberateDisruption_AcademicFunction,What are the corrective actions for deliberate disruption of academic functions or activities?,"The deliberate disruption of the academic function or any university activity, or any other intentional act which tends to create disorders, tumult, breach of peace, or any serious disturbance although not connected with any academic function or school activity, is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
DeliberateDisruption_AcademicFunction,What are the punishment for deliberate disruption?,"The deliberate disruption of the academic function or any university activity, or any other intentional act which tends to create disorders, tumult, breach of peace, or any serious disturbance although not connected with any academic function or school activity, is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
PublishingMisleadingInformation,Is publishing misleading information in social media or in print considered a major offense?,"Publishing misleading information in social media or in print is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
PublishingMisleadingInformation,What are the corrective actions for publishing misleading information?,"Publishing misleading information in social media or in print is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
PublishingMisleadingInformation,What are the punishment for spreading misleading information,"Publishing misleading information in social media or in print is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
ForgingFalsifyingOfficialDocument,Is forging/falsifying any official university document/record considered a major offense?,"Forging/falsifying any official university document/record is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
ForgingFalsifyingOfficialDocument,What are the corrective actions for forging/falsifying official university documents/records?,"Forging/falsifying any official university document/record is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
ForgingFalsifyingOfficialDocument,What are the punishment for falsifying documents?,"Forging/falsifying any official university document/record is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
ActsMaligningGoodName,"Are acts that malign the good name and reputation of the University, its duly constituted authorities, and other members of the academic community, such as the malicious imputation of a crime, offense, or impropriety, vice or defect, whether real or imaginary, or of any act, omission, condition status or circumstances tending to discredit or cause dishonor and contempt to the good name or reputation of the university, considered a major offense?","Acts that malign the good name and reputation of the University, its duly constituted authorities, and other members of the academic community, such as the malicious imputation of a crime, offense, or impropriety, vice or defect, whether real or imaginary, or of any act, omission, condition status or circumstances tending to discredit or cause dishonor and contempt to the good name or reputation of the university. The corrective actions for this offense are Corrective Action 2, 3, and 4."
ActsMaligningGoodName,What are the corrective actions for acts maligning the good name and reputation of the University?,"Acts that malign the good name and reputation of the University, its duly constituted authorities, and other members of the academic community, such as the malicious imputation of a crime, offense, or impropriety, vice or defect, whether real or imaginary, or of any act, omission, condition status or circumstances tending to discredit or cause dishonor and contempt to the good name or reputation of the university. The corrective actions for this offense are Corrective Action 2, 3, and 4."
ActsMaligningGoodName,What are the punishment for staining the reputaion of the university?,"Acts that malign the good name and reputation of the University, its duly constituted authorities, and other members of the academic community, such as the malicious imputation of a crime, offense, or impropriety, vice or defect, whether real or imaginary, or of any act, omission, condition status or circumstances tending to discredit or cause dishonor and contempt to the good name or reputation of the university. The corrective actions for this offense are Corrective Action 2, 3, and 4."
UnauthorizedCollectionOfMoney,"Is unauthorized collection of money, checks, or other instruments used as equivalents of money, in connection with any matter, property, or transaction pertaining to the University considered a major offense?","Unauthorized collection of money, checks, or other instruments used as equivalents of money, in connection with any matter, property, or transaction pertaining to the University is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
UnauthorizedCollectionOfMoney,What are the corrective actions for unauthorized collection of money?,"Unauthorized collection of money, checks, or other instruments used as equivalents of money, in connection with any matter, property, or transaction pertaining to the University is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
UnauthorizedCollectionOfMoney,What are the punishment for unauthorized collection of money?,"Unauthorized collection of money, checks, or other instruments used as equivalents of money, in connection with any matter, property, or transaction pertaining to the University is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
Vandalism,Is vandalism considered a major offense?,"Vandalism is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
Vandalism,What are the corrective actions for vandalism?,"Vandalism is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
Vandalism,What are the punishment for vandalism?,"Vandalism is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
Littering,Is littering considered a major offense?,Littering is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2 and 3.
Littering,What are the corrective actions for littering?,Littering is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2 and 3.
Littering,What are the punishment for littering?,Littering is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2 and 3.
SmokingAndECigarettes,Is smoking and/or using e-cigarettes/e-vaporizers within the university premises or approved off-campus activities considered a major offense?,"Smoking and/or using e-cigarettes/e-vaporizers within the university premises or approved off-campus activities is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
SmokingAndECigarettes,What are the corrective actions for smoking and using e-cigarettes/e-vaporizers within the university premises?,"Smoking and/or using e-cigarettes/e-vaporizers within the university premises or approved off-campus activities is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
SmokingAndECigarettes,What are the punishment for smoking or vaping?,"Smoking and/or using e-cigarettes/e-vaporizers within the university premises or approved off-campus activities is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
GamblingInsideUniversity,Is gambling in any form inside the University premises and approved off-campus activity considered a major offense?,"Gambling in any form inside the University premises and approved off-campus activity is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
GamblingInsideUniversity,What are the corrective actions for gambling inside the University premises?,"Gambling in any form inside the University premises and approved off-campus activity is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
GamblingInsideUniversity,What are the punishment for gambling?,"Gambling in any form inside the University premises and approved off-campus activity is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
ParticipatingInOffCampusActivityWhileIntoxicated,Is participating in approved off-campus activity while in the state of intoxication/under the influence of liquor considered a major offense?,"Participating in approved off-campus activity while in the state of intoxication/under the influence of liquor is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
ParticipatingInOffCampusActivityWhileIntoxicated,What are the corrective actions for participating in off-campus activity while intoxicated?,"Participating in approved off-campus activity while in the state of intoxication/under the influence of liquor is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
ParticipatingInOffCampusActivityWhileIntoxicated,What are the punishment for students who join off-campus activities while under the influence of alcohol?,"Participating in approved off-campus activity while in the state of intoxication/under the influence of liquor is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
PossessionOfDeadlyWeapons,Is possession of deadly weapon/s considered a major offense?,"Possession of deadly weapon/s is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
PossessionOfDeadlyWeapons,What are the corrective actions for possession of deadly weapons?,"Possession of deadly weapon/s is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
PossessionOfDeadlyWeapons,What are the punishment for having deadly weapons?,"Possession of deadly weapon/s is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
SharingObsceneMaterialsInsideUniversity,"Is bringing, sending, sharing of obscene, profane, or pornographic materials inside the University or during approved off-campus activities considered a major offense?","Bringing, sending, sharing of obscene, profane, or pornographic materials inside the University or during approved off-campus activities is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
SharingObsceneMaterialsInsideUniversity,What are the corrective actions for sharing obscene materials inside the University?,"Bringing, sending, sharing of obscene, profane, or pornographic materials inside the University or during approved off-campus activities is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
SharingObsceneMaterialsInsideUniversity,What are the punishment for having or sharing pornographic materials?,"Bringing, sending, sharing of obscene, profane, or pornographic materials inside the University or during approved off-campus activities is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
EnteringUniversityWhileIntoxicated,Is entering or being in the University premises while in a state of intoxication/under the influence of liquor considered a major offense?,"Entering or being in the University premises while in a state of intoxication/under the influence of liquor is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
EnteringUniversityWhileIntoxicated,What are the corrective actions for entering the University while intoxicated?,"Entering or being in the University premises while in a state of intoxication/under the influence of liquor is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
EnteringUniversityWhileIntoxicated,What happens if someone is under alcohol inside the university?,"Entering or being in the University premises while in a state of intoxication/under the influence of liquor is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
PublicDisplayOfAffection,"Is public display of affection, such as kissing, necking, petting, embracing, sitting/lying on somebody else's lap, partner/couple staying in dark inconspicuous places, partner/couple staying in parked vehicles with lights off and closed windows, arm/s on hips/waist/shoulders of opposite sex, any act which constitutes public display of affection, considered a major offense?","Public display of affection, such as kissing, necking, petting, embracing, sitting/lying on somebody else's lap, partner/couple staying in dark inconspicuous places, partner/couple staying in parked vehicles with lights off and closed windows, arm/s on hips/waist/shoulders of opposite sex, any act which constitutes public display of affection, is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 1 and 2."
PublicDisplayOfAffection,What are the corrective actions for public display of affection?,"Public display of affection, such as kissing, necking, petting, embracing, sitting/lying on somebody else's lap, partner/couple staying in dark inconspicuous places, partner/couple staying in parked vehicles with lights off and closed windows, arm/s on hips/waist/shoulders of opposite sex, any act which constitutes public display of affection, is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 1 and 2."
PublicDisplayOfAffection,Is PDA allowed inside the campus?,"Public display of affection, such as kissing, necking, petting, embracing, sitting/lying on somebody else's lap, partner/couple staying in dark inconspicuous places, partner/couple staying in parked vehicles with lights off and closed windows, arm/s on hips/waist/shoulders of opposite sex, any act which constitutes public display of affection, is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 1 and 2."
FinalConvictionCriminalOffense,Is final conviction before any court of any criminal offense involving moral turpitude considered a major offense?,"Final conviction before any court of any criminal offense involving moral turpitude is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
FinalConvictionCriminalOffense,What are the corrective actions for final conviction of a criminal offense?,"Final conviction before any court of any criminal offense involving moral turpitude is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
FinalConvictionCriminalOffense,What are the punishment involving moral turpitude?,"Final conviction before any court of any criminal offense involving moral turpitude is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 3, 4, and 5."
HabitualCommissionOfMinorOffenses,Is habitual commission of minor offenses considered a major offense?,"Habitual commission of minor offenses (of the same nature) is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
HabitualCommissionOfMinorOffenses,What are the corrective actions for habitual commission of minor offenses?,"Habitual commission of minor offenses (of the same nature) is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
HabitualCommissionOfMinorOffenses,What are the punishment for habitual commission.,"Habitual commission of minor offenses (of the same nature) is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 2, 3, and 4."
ViolationOfProbationCondition,Is violation of the condition of being under probation considered a major offense?,Violation of the condition of being under probation is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 1 and 2.
ViolationOfProbationCondition,What are the corrective actions for violating the condition of being under probation?,Violation of the condition of being under probation is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 1 and 2.
ViolationOfProbationCondition,What are the punishment for violations under probation?,Violation of the condition of being under probation is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 1 and 2.
MajorTrafficViolations,Are major traffic violations considered major offenses?,"Major traffic violations are considered major offenses (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, 4, and 5."
MajorTrafficViolations,What are the corrective actions for major traffic violations?,"Major traffic violations are considered major offenses (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, 4, and 5."
MajorTrafficViolations,What are the punishment for major traffic violations?,"Major traffic violations are considered major offenses (misconduct). The corrective actions for this offense are Corrective Action 1, 2, 3, 4, and 5."
CommissionOfThirdMinorOffense,Is the commission of a third minor offense considered a major offense?,The commission of a third minor offense is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 1 and 2.
CommissionOfThirdMinorOffense,What are the corrective actions for committing a third minor offense?,The commission of a third minor offense is considered a major offense (misconduct). The corrective actions for this offense are Corrective Action 1 and 2.
